iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cid
DEU,Europe,Germany,2020-03-09,1112.0,265.0,2.0,2.0,13.332,0.000265,2e-06,2e-06,1133.0,28.7,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-10,1296.0,184.0,2.0,0.0,15.538,0.000184,2e-06,0.0,1133.0,32.87,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-11,1567.0,271.0,3.0,1.0,18.787,0.000271,3e-06,1e-06,1133.0,32.87,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-12,2369.0,802.0,5.0,2.0,28.402,0.000802,5e-06,2e-06,1133.0,32.87,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-13,3062.0,693.0,5.0,0.0,36.711,0.000693,5e-06,0.0,1133.0,32.87,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-14,3795.0,733.0,8.0,3.0,45.499,0.000733,8e-06,3e-06,1133.0,32.87,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-15,4838.0,1043.0,12.0,4.0,58.004,0.001043,1.2e-05,4e-06,1133.0,32.87,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-16,6012.0,1174.0,12.0,0.0,72.079,0.001174,1.2e-05,0.0,1133.0,42.13,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-17,7156.0,1144.0,12.0,0.0,85.795,0.001144,1.2e-05,0.0,1133.0,42.13,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-18,8198.0,1042.0,12.0,0.0,98.287,0.001042,1.2e-05,0.0,1133.0,52.31,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-19,10999.0,2801.0,20.0,8.0,131.869,0.002801,2e-05,8e-06,1133.0,55.09,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-20,13957.0,2958.0,31.0,11.0,167.333,0.002958,3.1e-05,1.1e-05,1133.0,57.87,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-21,16662.0,2705.0,47.0,16.0,199.764,0.002705,4.7e-05,1.6e-05,1133.0,68.06,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-22,18610.0,1948.0,55.0,8.0,223.119,0.001948,5.5e-05,8e-06,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-23,22672.0,4062.0,86.0,31.0,271.819,0.004062,8.6e-05,3.1e-05,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-24,27436.0,4764.0,114.0,28.0,328.935,0.004764,0.000114,2.8e-05,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-25,31554.0,4118.0,149.0,35.0,378.307,0.004118,0.000149,3.5e-05,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-26,36508.0,4954.0,198.0,49.0,437.701,0.004954,0.000198,4.9e-05,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-27,42288.0,5780.0,253.0,55.0,506.998,0.00578,0.000253,5.5e-05,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-28,48582.0,6294.0,325.0,72.0,582.458,0.006294,0.000325,7.2e-05,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-29,52547.0,3965.0,389.0,64.0,629.995,0.003965,0.000389,6.4e-05,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-30,57298.0,4751.0,455.0,66.0,686.956,0.004751,0.000455,6.6e-05,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-03-31,61913.0,4615.0,583.0,128.0,742.286,0.004615,0.000583,0.000128,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-04-01,67366.0,5453.0,732.0,149.0,807.663,0.005453,0.000732,0.000149,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-04-02,73522.0,6156.0,872.0,140.0,881.468,0.006156,0.000872,0.00014,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-04-03,79696.0,6174.0,1017.0,145.0,955.49,0.006174,0.001017,0.000145,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-04-04,85778.0,6082.0,1158.0,141.0,1028.408,0.006082,0.001158,0.000141,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
DEU,Europe,Germany,2020-04-05,91714.0,5936.0,1342.0,184.0,1099.575,0.005936,0.001342,0.000184,1133.0,76.85,237.016,46.6,21.453,15.957,45229.245,2.2,156.139,8.31,28.2,33.1,47.964,8.0,81.33,0.947,83369840.0,75
