iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cid
FRA,Europe,France,2020-02-15,12.0,1.0,1.0,1.0,0.178,1e-06,1e-06,1e-06,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-16,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-17,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-18,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-19,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-20,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-21,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-22,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-23,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-24,12.0,0.0,1.0,0.0,0.178,0.0,1e-06,0.0,1133.0,5.56,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-25,14.0,2.0,1.0,0.0,0.208,2e-06,1e-06,0.0,1133.0,13.89,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-26,18.0,4.0,2.0,1.0,0.267,4e-06,2e-06,1e-06,1133.0,13.89,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-27,38.0,20.0,2.0,0.0,0.564,2e-05,2e-06,0.0,1133.0,13.89,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-28,57.0,19.0,2.0,0.0,0.845,1.9e-05,2e-06,0.0,1133.0,13.89,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-02-29,100.0,43.0,2.0,0.0,1.483,4.3e-05,2e-06,0.0,1133.0,34.72,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-03-01,130.0,30.0,2.0,0.0,1.928,3e-05,2e-06,0.0,1133.0,34.72,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-03-02,191.0,61.0,3.0,1.0,2.833,6.1e-05,3e-06,1e-06,1133.0,43.98,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-03-03,212.0,21.0,4.0,1.0,3.144,2.1e-05,4e-06,1e-06,1133.0,43.98,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-03-04,288.0,76.0,4.0,0.0,4.272,7.6e-05,4e-06,0.0,1133.0,43.98,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
FRA,Europe,France,2020-03-05,426.0,138.0,7.0,3.0,6.318,0.000138,7e-06,3e-06,1133.0,43.98,122.578,42.0,19.718,13.079,38605.671,2.2,86.06,4.77,30.1,35.6,47.964,5.98,82.66,0.901,67813000.0,70
