iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cid
LUX,Europe,Luxembourg,2020-03-14,51.0,17.0,1.0,1.0,79.772,1.7e-05,1e-06,1e-06,1133.0,42.59,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-15,59.0,8.0,1.0,0.0,92.285,8e-06,1e-06,0.0,1133.0,53.7,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-16,77.0,18.0,1.0,0.0,120.44,1.8e-05,1e-06,0.0,1133.0,72.22,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-17,140.0,63.0,1.0,0.0,218.982,6.3e-05,1e-06,0.0,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-18,203.0,63.0,2.0,1.0,317.524,6.3e-05,2e-06,1e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-19,335.0,132.0,4.0,2.0,523.993,0.000132,4e-06,2e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-20,484.0,149.0,4.0,0.0,757.053,0.000149,4e-06,0.0,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-21,670.0,186.0,8.0,4.0,1047.987,0.000186,8e-06,4e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-22,798.0,128.0,8.0,0.0,1248.199,0.000128,8e-06,0.0,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-23,875.0,77.0,8.0,0.0,1368.64,7.7e-05,8e-06,0.0,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-24,1099.0,224.0,8.0,0.0,1719.011,0.000224,8e-06,0.0,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-25,1333.0,234.0,8.0,0.0,2085.025,0.000234,8e-06,0.0,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-26,1453.0,120.0,9.0,1.0,2272.724,0.00012,9e-06,1e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-27,1605.0,152.0,15.0,6.0,2510.476,0.000152,1.5e-05,6e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-28,1831.0,226.0,18.0,3.0,2863.976,0.000226,1.8e-05,3e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-29,1950.0,119.0,21.0,3.0,3050.111,0.000119,2.1e-05,3e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-30,1988.0,38.0,22.0,1.0,3109.549,3.8e-05,2.2e-05,1e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-03-31,2178.0,190.0,23.0,1.0,3406.739,0.00019,2.3e-05,1e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-01,2319.0,141.0,29.0,6.0,3627.286,0.000141,2.9e-05,6e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-02,2487.0,168.0,30.0,1.0,3890.065,0.000168,3e-05,1e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-03,2612.0,125.0,31.0,1.0,4085.585,0.000125,3.1e-05,1e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-04,2729.0,117.0,31.0,0.0,4268.591,0.000117,3.1e-05,0.0,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-05,2804.0,75.0,36.0,5.0,4385.903,7.5e-05,3.6e-05,5e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-06,2843.0,39.0,41.0,5.0,4446.905,3.9e-05,4.1e-05,5e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-07,2970.0,127.0,44.0,3.0,4645.554,0.000127,4.4e-05,3e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-08,3034.0,64.0,46.0,2.0,4745.66,6.4e-05,4.6e-05,2e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
LUX,Europe,Luxembourg,2020-04-09,3115.0,81.0,52.0,6.0,4872.357,8.1e-05,5.2e-05,6e-06,1133.0,79.63,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,47.964,4.51,82.25,0.916,647601.0,115
