iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cid,Black_days
NLD,Europe,Netherlands,2020-03-06,188.0,60.0,1.0,1.0,10.742,6e-05,1e-06,1e-06,1133.0,11.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-07,265.0,77.0,1.0,0.0,15.141,7.7e-05,1e-06,0.0,1133.0,11.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-08,321.0,56.0,3.0,2.0,18.341,5.6e-05,3e-06,2e-06,1133.0,11.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-09,382.0,61.0,3.0,0.0,21.826,6.1e-05,3e-06,0.0,1133.0,11.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-10,503.0,121.0,4.0,1.0,28.74,0.000121,4e-06,1e-06,1133.0,20.83,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-11,603.0,100.0,5.0,1.0,34.454,0.0001,5e-06,1e-06,1133.0,20.83,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-12,804.0,201.0,5.0,0.0,45.938,0.000201,5e-06,0.0,1133.0,45.37,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-13,959.0,155.0,10.0,5.0,54.795,0.000155,1e-05,5e-06,1133.0,53.7,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-14,1135.0,176.0,12.0,2.0,64.851,0.000176,1.2e-05,2e-06,1133.0,53.7,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-15,1413.0,278.0,20.0,8.0,80.735,0.000278,2e-05,8e-06,1133.0,53.7,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-16,1705.0,292.0,24.0,4.0,97.419,0.000292,2.4e-05,4e-06,1133.0,61.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-17,2051.0,346.0,43.0,19.0,117.189,0.000346,4.3e-05,1.9e-05,1133.0,61.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-18,2460.0,409.0,58.0,15.0,140.558,0.000409,5.8e-05,1.5e-05,1133.0,61.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-19,2994.0,534.0,76.0,18.0,171.069,0.000534,7.6e-05,1.8e-05,1133.0,61.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
NLD,Europe,Netherlands,2020-03-20,3632.0,638.0,106.0,30.0,207.523,0.000638,0.000106,3e-05,1133.0,61.11,508.544,43.2,18.779,11.881,48472.545,2.2,109.361,5.29,24.4,27.3,47.964,3.32,82.28,0.944,17564020.0,139,False
