iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cid
PRT,Europe,Portugal,2020-03-17,448.0,117.0,1.0,1.0,43.537,0.000117,1e-06,1e-06,1133.0,55.56,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-18,448.0,0.0,2.0,1.0,43.537,0.0,2e-06,1e-06,1133.0,61.11,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-19,785.0,337.0,3.0,1.0,76.287,0.000337,3e-06,1e-06,1133.0,82.41,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-20,1020.0,235.0,6.0,3.0,99.124,0.000235,6e-06,3e-06,1133.0,82.41,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-21,1280.0,260.0,12.0,6.0,124.391,0.00026,1.2e-05,6e-06,1133.0,82.41,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-22,1600.0,320.0,14.0,2.0,155.489,0.00032,1.4e-05,2e-06,1133.0,82.41,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-23,2060.0,460.0,23.0,9.0,200.192,0.00046,2.3e-05,9e-06,1133.0,82.41,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-24,2362.0,302.0,33.0,10.0,229.541,0.000302,3.3e-05,1e-05,1133.0,82.41,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-25,2995.0,633.0,43.0,10.0,291.056,0.000633,4.3e-05,1e-05,1133.0,82.41,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
PRT,Europe,Portugal,2020-03-26,3544.0,549.0,60.0,17.0,344.409,0.000549,6e-05,1.7e-05,1133.0,82.41,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,158
