iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cid
ESP,Europe,Spain,2020-03-03,165.0,45.0,1.0,1.0,3.475,4.5e-05,1e-06,1e-06,1133.0,11.11,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-04,222.0,57.0,2.0,1.0,4.675,5.7e-05,2e-06,1e-06,1133.0,11.11,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-05,259.0,37.0,3.0,1.0,5.454,3.7e-05,3e-06,1e-06,1133.0,11.11,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-06,400.0,141.0,5.0,2.0,8.423,0.000141,5e-06,2e-06,1133.0,11.11,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-07,500.0,100.0,10.0,5.0,10.529,0.0001,1e-05,5e-06,1133.0,11.11,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-08,673.0,173.0,17.0,7.0,14.172,0.000173,1.7e-05,7e-06,1133.0,11.11,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-09,1073.0,400.0,28.0,11.0,22.596,0.0004,2.8e-05,1.1e-05,1133.0,25.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-10,1695.0,622.0,35.0,7.0,35.694,0.000622,3.5e-05,7e-06,1133.0,45.83,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-11,2277.0,582.0,54.0,19.0,47.95,0.000582,5.4e-05,1.9e-05,1133.0,45.83,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-12,2277.0,0.0,55.0,1.0,47.95,0.0,5.5e-05,1e-06,1133.0,45.83,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-13,5232.0,2955.0,133.0,78.0,110.178,0.002955,0.000133,7.8e-05,1133.0,45.83,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-14,6391.0,1159.0,195.0,62.0,134.584,0.001159,0.000195,6.2e-05,1133.0,67.13,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
ESP,Europe,Spain,2020-03-15,7798.0,1407.0,289.0,94.0,164.214,0.001407,0.000289,9.4e-05,1133.0,67.13,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,183
