iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cid
TUR,Asia,Turkey,2020-03-17,47.0,29.0,1.0,1.0,0.554,2.9e-05,1e-06,1e-06,1133.0,52.78,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-18,98.0,51.0,1.0,0.0,1.156,5.1e-05,1e-06,0.0,1133.0,58.33,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-19,192.0,94.0,3.0,2.0,2.265,9.4e-05,3e-06,2e-06,1133.0,58.33,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-20,359.0,167.0,4.0,1.0,4.235,0.000167,4e-06,1e-06,1133.0,58.33,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-21,670.0,311.0,9.0,5.0,7.903,0.000311,9e-06,5e-06,1133.0,62.04,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-22,1236.0,566.0,30.0,21.0,14.58,0.000566,3e-05,2.1e-05,1133.0,62.04,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-23,1529.0,293.0,37.0,7.0,18.036,0.000293,3.7e-05,7e-06,1133.0,62.04,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-24,1872.0,343.0,44.0,7.0,22.082,0.000343,4.4e-05,7e-06,1133.0,67.59,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-25,2433.0,561.0,59.0,15.0,28.699,0.000561,5.9e-05,1.5e-05,1133.0,67.59,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-26,3629.0,1196.0,75.0,16.0,42.807,0.001196,7.5e-05,1.6e-05,1133.0,67.59,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-27,5698.0,2069.0,92.0,17.0,67.213,0.002069,9.2e-05,1.7e-05,1133.0,70.37,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-28,7402.0,1704.0,108.0,16.0,87.313,0.001704,0.000108,1.6e-05,1133.0,75.93,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-29,9217.0,1815.0,131.0,23.0,108.723,0.001815,0.000131,2.3e-05,1133.0,75.93,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
TUR,Asia,Turkey,2020-03-30,10827.0,1610.0,168.0,37.0,127.714,0.00161,0.000168,3.7e-05,1133.0,75.93,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,199
