iso_code,continent,country,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cid
GBR,Europe,United Kingdom,2020-01-31,2.0,2.0,1.0,0.0,0.03,2e-06,1e-06,0.0,1133.0,8.33,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-01,2.0,0.0,1.0,0.0,0.03,0.0,1e-06,0.0,1133.0,8.33,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-02,2.0,0.0,2.0,1.0,0.03,0.0,2e-06,1e-06,1133.0,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-03,8.0,6.0,2.0,0.0,0.119,6e-06,2e-06,0.0,1133.0,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-04,8.0,0.0,2.0,0.0,0.119,0.0,2e-06,0.0,1133.0,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-05,9.0,1.0,2.0,0.0,0.134,1e-06,2e-06,0.0,1133.0,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-06,9.0,0.0,2.0,0.0,0.134,0.0,2e-06,0.0,1133.0,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-07,9.0,0.0,2.0,0.0,0.134,0.0,2e-06,0.0,1133.0,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-08,13.0,4.0,2.0,0.0,0.193,4e-06,2e-06,0.0,1133.0,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
GBR,Europe,United Kingdom,2020-02-09,14.0,1.0,2.0,0.0,0.208,1e-06,2e-06,0.0,1133.0,11.11,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,204
