observed,predicted,diff,country
1121.28,1121.7717581153868,0.49175811538680136,Spain
1122.46,1121.6731879493684,-0.7868120506316245,Spain
1122.46,1121.5445139235137,-0.9154860764863315,Spain
1122.46,1121.5317038476742,-0.9282961523258564,Spain
1124.54,1121.518893918149,-3.0211060818510305,Spain
1124.54,1121.5060841349364,-3.033915865063591,Spain
1124.54,1121.4932744980347,-3.046725501965284,Spain
1124.54,1121.4804650074425,-3.0595349925574737,Spain
1126.0,1121.4676556631578,-4.532344336842243,Spain
1126.0,1121.4548464651791,-4.545153534820884,Spain
1126.0,1121.4420374135047,-4.55796258649525,Spain
1128.04,1121.429228508133,-6.610771491866899,Spain
1128.04,1121.4164197490622,-6.623580250937721,Spain
1128.04,1121.4036111362907,-6.636388863709271,Spain
1128.04,1121.3908026698168,-6.649197330183142,Spain
1129.23,1121.377994349639,-7.852005650360979,Spain
1129.31,1121.3651861757555,-7.94481382424442,Spain
1131.3,1121.3523781481645,-9.947621851835493,Spain
1131.3,1121.3395702668645,-9.96042973313547,Spain
1131.3,1121.3267625318538,-9.97323746814618,Spain
1131.3,1121.3139549431307,-9.986045056869216,Spain
1132.79,1121.3011475006936,-11.488852499306404,Spain
1132.79,1121.2883402045406,-11.501659795459318,Spain
1132.79,1121.2755330546702,-11.514466945329787,Spain
1137.25,1121.2627260510808,-15.98727394891921,Spain
1137.25,1121.2499191937707,-16.000080806229334,Spain
1137.25,1121.237112482738,-16.012887517262016,Spain
1137.25,1121.2243059179812,-16.025694082018845,Spain
1138.45,1121.2114994994986,-17.23850050050146,Spain
1138.45,1121.1986932272887,-17.25130677271136,Spain
1138.45,1121.1858871013496,-17.26411289865041,Spain
1140.09,1121.1730811216798,-18.916918878320075,Spain
1140.09,1121.1602752882775,-18.92972471172243,Spain
1140.09,1121.1474696011412,-18.942530398858707,Spain
1140.09,1121.134664060269,-18.955335939730958,Spain
1140.8400000000001,1121.1218586656594,-19.71814133434077,Spain
1140.8400000000001,1121.1090534173106,-19.730946582689512,Spain
1140.8400000000001,1121.0962483152211,-19.743751684779,Spain
1141.79,1121.083443359389,-20.70655664061087,Spain
1141.79,1121.0706385498129,-20.71936145018708,Spain
1141.79,1121.057833886491,-20.732166113509038,Spain
1141.79,1121.0450293694214,-20.744970630578564,Spain
1142.6200000000001,1121.0322249986027,-21.587775001397404,Spain
1142.6200000000001,1121.0194207740333,-21.60057922596684,Spain
1142.6200000000001,1121.0066166957113,-21.613383304288845,Spain
1144.68,1120.993812763635,-23.686187236364958,Spain
1144.68,1120.9810089778032,-23.69899102219688,Spain
1144.68,1120.9682053382137,-23.71179466178637,Spain
1144.68,1120.955401844865,-23.724598155135027,Spain
1144.68,1120.9425984977556,-23.73740150224444,Spain
1144.68,1120.9297952968836,-23.750204703116424,Spain
1144.68,1120.9169922422475,-23.763007757752575,Spain
1146.41,1120.9041893338456,-25.505810666154503,Spain
1146.41,1120.891386571676,-25.518613428323988,Spain
1146.41,1120.8785839557374,-25.53141604426264,Spain
1146.41,1120.8657814860278,-25.544218513972282,Spain
1146.41,1120.8529791625456,-25.557020837454502,Spain
1146.41,1120.8401769852892,-25.56982301471089,Spain
1146.41,1120.827374954257,-25.582625045743043,Spain
1148.6200000000001,1120.8145730694473,-27.805426930552812,Spain
2066.5,2066.5037358216778,0.0037358216777647613,United Kingdom
2066.9,2067.024353685489,0.1243536854890408,United Kingdom
2067.61,2067.5235985740806,-0.08640142591957556,United Kingdom
2068.0299999999997,2068.0076173872935,-0.02238261270622388,United Kingdom
2068.4900000000002,2068.482173137734,-0.007826862266028911,United Kingdom
2069.01,2068.9526550511027,-0.05734494889748021,United Kingdom
2069.43,2069.4240890412984,-0.005910958701406344,United Kingdom
2069.82,2069.9011485040223,0.08114850402216689,United Kingdom
2070.19,2070.3881653755902,0.19816537559017888,United Kingdom
2070.77,2070.889141406613,0.1191414066129255,United Kingdom
2071.22,2071.407759603086,0.18775960308630602,United Kingdom
2071.59,2071.947395790256,0.35739579025585044,United Kingdom
2072.0099999999998,2072.51113025737,0.5011302573702778,United Kingdom
2072.3,2073.101759444112,0.8017594441116671,United Kingdom
2072.71,2073.7218076321274,1.0118076321273293,United Kingdom
2073.18,2074.3735386075746,1.1935386075747374,United Kingdom
2073.5899999999997,2075.058967263091,1.4689672630911446,United Kingdom
2074.03,2075.7798711099435,1.7498711099433422,United Kingdom
2074.4,2076.5378016734203,2.1378016734201992,United Kingdom
2074.8,2077.3340957467326,2.5340957467324188,United Kingdom
2075.17,2078.1698864808295,2.9998864808294456,United Kingdom
2075.63,2079.0461142895697,3.4161142895695775,United Kingdom
2076.08,2079.963537551656,3.8835375516559907,United Kingdom
2076.44,2080.9227430926258,4.482743092625697,United Kingdom
2076.92,2081.92415643198,5.004156431979936,United Kingdom
2077.4100000000003,2082.968051782248,5.55805178224773,United Kingdom
2077.85,2084.054561788429,6.204561788429146,United Kingdom
2078.2200000000003,2085.1836869977933,6.963686997793047,United Kingdom
2078.82,2086.355305051506,7.535305051505929,United Kingdom
2079.43,2087.569179590933,8.139179590933054,United Kingdom
2079.97,2088.8249688728033,8.85496887280351,United Kingdom
2080.56,2090.1222340886575,9.562234088657533,United Kingdom
2081.1,2091.460447385166,10.360447385166026,United Kingdom
2081.74,2092.838999583019,11.098999583019122,United Kingdom
2082.2599999999998,2094.2572075931052,11.997207593105486,United Kingdom
2082.9,2095.7143215296683,12.814321529668177,United Kingdom
2083.58,2097.209531521015,13.629531521014997,United Kingdom
2084.18,2098.7419742191946,14.56197421919478,United Kingdom
2084.62,2100.3107390108235,15.690739010823563,United Kingdom
2084.97,2101.914873931951,16.944873931951406,United Kingdom
2084.97,2103.5533912905084,18.583391290508644,United Kingdom
