iso_code,continent,country,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,total_deaths_per_hundred,total_deaths_per_ratio,cid
AFG,Asia,Afghanistan,55174.0,53.0,2406.0,1.0,1375.929,5.3e-05,0.002406,1e-06,1133.0,12.04,54.422,18.6,2.581,1.337,1803.987,2.2,597.029,9.59,6.2,31.2,37.746,0.5,64.83,0.511,41128772.0,24.060000000000002,5.8499193703133174e-05,1
ALB,Europe,Albania,75454.0,887.0,1350.0,11.0,26431.406,0.000887,0.00135,1.1e-05,0.0,60.19,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,47.964,2.89,78.57,0.795,2842318.0,13.5,0.00047496444803150103,2
DZA,Africa,Algeria,105124.0,272.0,2856.0,3.0,2379.557,0.000272,0.002856,3e-06,1133.0,72.22,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,44903228.0,28.56,6.360344516879722e-05,3
AND,Europe,Andorra,10070.0,53.0,103.0,1.0,127413.518,5.3e-05,0.000103,1e-06,689.0,55.56,163.755,30.626080159524133,6.614,3.915,13111.214,2.2,109.135,7.97,29.0,37.8,47.964,2.397,83.73,0.868,79843.0,1.03,0.0012900316871861028,4
AGO,Africa,Angola,20381.0,15.0,493.0,1.0,590.689,1.5e-05,0.000493,1e-06,1133.0,61.11,23.89,16.8,2.405,1.362,5819.495,2.2,276.045,3.94,6.2,31.2,26.664,2.397,61.15,0.581,35588996.0,4.93,1.3852596459872035e-05,5
AIA,North America,Anguilla,2270.0,0.0,7.0,0.0,144099.537,0.0,7e-06,0.0,1764.0,47.24,85.129,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,81.88,0.75,15877.0,0.06999999999999999,0.0004408893367764691,6
ATG,North America,Antigua and Barbuda,427.0,8.0,9.0,0.0,4580.562,8e-06,9e-06,0.0,1133.0,47.24,231.845,32.1,6.933,4.631,21490.943,2.2,191.511,13.17,6.2,31.2,47.964,3.8,77.02,0.778,93772.0,0.09,9.597747728533038e-05,7
ARG,South America,Argentina,1867223.0,5031.0,46827.0,90.0,41240.19,0.005031,0.046827,9e-05,220.0,79.17,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,47.964,5.0,76.67,0.845,45510324.0,468.27,0.0010289313695064004,8
ARM,Asia,Armenia,167421.0,190.0,3096.0,7.0,59986.585,0.00019,0.003096,7e-06,1133.0,47.24,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,2780472.0,30.959999999999997,0.0011134800134653398,9
ABW,North America,Aruba,6944.0,48.0,59.0,0.0,65179.845,4.8e-05,5.9e-05,0.0,1133.0,46.3,584.8,41.2,13.085,7.452,35973.781,2.2,242.648,11.62,6.2,31.2,47.964,2.397,76.29,0.75,106459.0,0.59,0.0005542039658460064,10
